Round/Epoch,Train Loss,SGD Steps,Val Loss,Val Dice WT,Val Dice TC,Val Dice ET,Val Mean Dice,Val HD95 WT,Val HD95 TC,Val HD95 ET,Val Mean HD95,Val Sensitivity WT,Val Sensitivity TC,Val Sensitivity ET,Val Specificity WT,Val Specificity TC,Val Specificity ET,Val Precision WT,Val Precision TC,Val Precision ET
1_val,,,0.6154,0.7764,0.7187,0.5700,0.6884,82.35,79.17,75.48,79.00,0.9978,1.0000,0.9970,0.9906,0.9918,0.9911,0.6355,0.5609,0.3990
2,0.4885,2,,,,,,,,,,,,,,,,,,
2_val,,,0.4238,0.9418,0.8721,0.8365,0.8835,2.45,4.12,2.00,2.86,0.9807,0.9954,0.9900,0.9983,0.9970,0.9978,0.9059,0.7759,0.7243
3,0.3000,2,,,,,,,,,,,,,,,,,,
3_val,,,0.3672,0.9516,0.9027,0.8770,0.9105,2.00,3.00,1.00,2.00,0.9684,0.9920,0.9824,0.9989,0.9978,0.9985,0.9354,0.8282,0.7921
4,0.2315,2,,,,,,,,,,,,,,,,,,
4_val,,,0.3546,0.9436,0.8831,0.8501,0.8923,2.24,3.61,1.41,2.42,0.9821,0.9946,0.9881,0.9984,0.9973,0.9980,0.9081,0.7940,0.7460
5,0.2414,2,,,,,,,,,,,,,,,,,,
5_val,,,0.3093,0.9412,0.9090,0.8746,0.9083,2.24,2.83,1.00,2.02,0.9885,0.9987,0.9925,0.9982,0.9979,0.9984,0.8982,0.8341,0.7818
6,0.2204,2,,,,,,,,,,,,,,,,,,
6_val,,,0.3029,0.9177,0.8727,0.8579,0.8828,3.32,4.12,1.41,2.95,0.9921,0.9983,0.9923,0.9972,0.9969,0.9981,0.8537,0.7751,0.7557
7,0.2335,2,,,,,,,,,,,,,,,,,,
7_val,,,0.2831,0.9333,0.8765,0.8509,0.8869,3.00,4.12,1.41,2.85,0.9881,0.9984,0.9920,0.9979,0.9971,0.9980,0.8844,0.7812,0.7449
8,0.2041,2,,,,,,,,,,,,,,,,,,
8_val,,,0.2594,0.9471,0.9105,0.8554,0.9043,2.24,2.83,1.41,2.16,0.9834,0.9978,0.9916,0.9985,0.9980,0.9981,0.9133,0.8373,0.7522
9,0.1961,2,,,,,,,,,,,,,,,,,,
9_val,,,0.2436,0.9333,0.9034,0.8780,0.9049,2.24,3.00,1.00,2.08,0.9910,0.9996,0.9929,0.9978,0.9978,0.9984,0.8818,0.8240,0.7869
10,0.1711,2,,,,,,,,,,,,,,,,,,
10_val,,,0.2435,0.9392,0.8692,0.8804,0.8963,2.45,4.12,1.41,2.66,0.9856,0.9988,0.9905,0.9981,0.9968,0.9985,0.8971,0.7693,0.7923
11,0.1948,2,,,,,,,,,,,,,,,,,,
11_val,,,0.2237,0.9465,0.8955,0.8682,0.9034,2.00,3.16,1.41,2.19,0.9869,0.9987,0.9906,0.9984,0.9976,0.9983,0.9093,0.8117,0.7727
12,0.1642,2,,,,,,,,,,,,,,,,,,
12_val,,,0.3745,0.7263,0.6444,0.6534,0.6747,9.27,9.43,7.07,8.59,0.9990,1.0000,0.9950,0.9876,0.9884,0.9938,0.5706,0.4754,0.4865
13,0.3285,2,,,,,,,,,,,,,,,,,,
13_val,,,0.3257,0.9059,0.7911,0.7941,0.8304,4.12,5.74,2.45,4.11,0.9900,0.9999,0.9975,0.9968,0.9944,0.9969,0.8350,0.6544,0.6596
14,0.2542,2,,,,,,,,,,,,,,,,,,
14_val,,,0.3016,0.9197,0.8311,0.7958,0.8489,3.16,4.90,2.24,3.43,0.9886,0.9998,0.9962,0.9973,0.9957,0.9970,0.8597,0.7112,0.6626
15,0.2531,2,,,,,,,,,,,,,,,,,,
15_val,,,0.2177,0.9556,0.9012,0.8490,0.9019,1.73,2.83,1.41,1.99,0.9835,0.9987,0.9898,0.9988,0.9977,0.9980,0.9292,0.8210,0.7432
16,0.1838,2,,,,,,,,,,,,,,,,,,
16_val,,,0.1758,0.9594,0.9131,0.8654,0.9126,1.41,2.45,1.41,1.76,0.9778,0.9975,0.9866,0.9990,0.9980,0.9983,0.9416,0.8419,0.7707
17,0.1670,2,,,,,,,,,,,,,,,,,,
17_val,,,0.1713,0.9485,0.9054,0.8720,0.9086,2.00,2.83,1.41,2.08,0.9885,0.9995,0.9924,0.9984,0.9978,0.9983,0.9116,0.8274,0.7776
18,0.1674,2,,,,,,,,,,,,,,,,,,
18_val,,,0.1843,0.9448,0.8712,0.8593,0.8918,2.24,4.00,1.41,2.55,0.9789,0.9987,0.9906,0.9985,0.9969,0.9981,0.9129,0.7726,0.7588
19,0.1624,2,,,,,,,,,,,,,,,,,,
19_val,,,0.1905,0.9474,0.8470,0.8624,0.8856,2.24,5.39,1.41,3.01,0.9792,0.9953,0.9839,0.9986,0.9963,0.9982,0.9177,0.7372,0.7676
20,0.1872,2,,,,,,,,,,,,,,,,,,
20_val,,,0.2093,0.9443,0.8149,0.8089,0.8560,2.45,6.32,2.83,3.87,0.9806,0.9972,0.9882,0.9984,0.9953,0.9973,0.9107,0.6889,0.6847
21,0.1794,2,,,,,,,,,,,,,,,,,,
21_val,,,1.0556,0.0319,0.0206,0.0118,0.0214,125.62,128.32,127.91,127.28,1.0000,1.0000,1.0000,0.0000,0.0000,0.0001,0.0162,0.0104,0.0059
22,1.0788,2,,,,,,,,,,,,,,,,,,
22_val,,,1.0027,0.0319,0.0206,0.0118,0.0214,125.62,128.32,127.91,127.28,1.0000,1.0000,1.0000,0.0000,0.0000,0.0001,0.0162,0.0104,0.0059
23,1.0207,2,,,,,,,,,,,,,,,,,,
23_val,,,1.0006,0.0319,0.0206,0.0118,0.0214,125.62,128.32,127.95,127.30,1.0000,1.0000,1.0000,0.0000,0.0000,0.0001,0.0162,0.0104,0.0059
24,1.0075,2,,,,,,,,,,,,,,,,,,
24_val,,,1.0010,0.0319,0.0206,0.0118,0.0214,125.62,128.32,127.99,127.31,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0162,0.0104,0.0059
25,1.0030,2,,,,,,,,,,,,,,,,,,
25_val,,,0.9993,0.0319,0.0206,0.0118,0.0214,125.62,128.32,127.99,127.31,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0162,0.0104,0.0059
25_val,,,0.9971,0.0319,0.0206,0.0118,0.0214,125.62,128.32,127.99,127.31,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0162,0.0104,0.0059
26,0.9982,2,,,,,,,,,,,,,,,,,,
26_val,,,0.9959,0.0319,0.0206,0.0118,0.0214,125.62,128.32,127.96,127.30,1.0000,1.0000,1.0000,0.0000,0.0000,0.0001,0.0162,0.0104,0.0059
27,0.9963,2,,,,,,,,,,,,,,,,,,
27_val,,,0.9948,0.0319,0.0206,0.0118,0.0214,125.62,128.32,127.93,127.29,1.0000,1.0000,1.0000,0.0000,0.0000,0.0001,0.0162,0.0104,0.0059
28,0.9943,2,,,,,,,,,,,,,,,,,,
28_val,,,0.9843,0.0319,0.0206,0.0127,0.0218,125.62,128.32,116.99,123.64,1.0000,1.0000,1.0000,0.0000,0.0000,0.0773,0.0162,0.0104,0.0064
29,0.9737,2,,,,,,,,,,,,,,,,,,
