Round/Epoch,Train Loss,Val Loss,Val Dice WT,Val Dice TC,Val Dice ET,Val Mean Dice,Peak RAM (MB),Peak VRAM (MB),Peak GPU Util (%)
1,0.5393,,,,,,19810.24,48892.00,100.00
1_val,,0.5447,0.8364,0.5949,0.6379,0.6897,21956.29,48892.00,0.00
2,0.3044,,,,,,21608.87,56252.00,6.00
2_val,,0.3125,0.8802,0.6797,0.7291,0.7630,23300.68,56262.00,6.00
3,0.2691,,,,,,22258.48,61306.00,9.00
3_val,,0.2802,0.8992,0.7054,0.7247,0.7764,25353.27,61306.00,100.00
4,0.2550,,,,,,24366.91,61306.00,100.00
4_val,,0.2702,0.9051,0.6831,0.7245,0.7709,24093.34,61306.00,6.00
5,0.2564,,,,,,22739.29,61306.00,6.00
5_val,,0.2383,0.9125,0.7418,0.7503,0.8015,24307.66,61306.00,6.00
6,0.2489,,,,,,24112.05,61306.00,100.00
6_val,,0.2366,0.9138,0.7368,0.7453,0.7987,24716.96,61306.00,5.00
7,0.2482,,,,,,25030.23,61306.00,100.00
7_val,,0.2386,0.9089,0.7202,0.7382,0.7891,24555.66,61306.00,6.00
8,0.2469,,,,,,24337.65,61306.00,100.00
8_val,,0.2324,0.9107,0.7324,0.7396,0.7942,25922.78,61306.00,100.00
9,0.2429,,,,,,23021.95,61306.00,0.00
9_val,,0.2174,0.9138,0.7519,0.7661,0.8106,26045.27,61306.00,100.00
10,0.2453,,,,,,23057.95,61306.00,6.00
10_val,,0.2183,0.9161,0.7481,0.7537,0.8060,26635.85,61306.00,100.00
11,0.2372,,,,,,24329.14,61306.00,6.00
11_val,,0.2143,0.9171,0.7587,0.7566,0.8108,26253.06,61306.00,6.00
12,0.2355,,,,,,24143.77,61306.00,2.00
12_val,,0.2033,0.9264,0.7671,0.7630,0.8188,26481.13,61306.00,6.00
13,0.2283,,,,,,24819.61,61306.00,6.00
13_val,,0.2051,0.9183,0.7649,0.7675,0.8169,26680.08,61306.00,0.00
14,0.2259,,,,,,24460.76,61306.00,6.00
14_val,,0.2087,0.9102,0.7567,0.7593,0.8088,26157.44,61306.00,0.00
15,0.2316,,,,,,24646.13,61306.00,6.00
15_val,,0.1997,0.9207,0.7733,0.7665,0.8201,27491.16,61306.00,100.00
16,0.2308,,,,,,24932.66,61306.00,6.00
16_val,,0.2118,0.9202,0.7490,0.7379,0.8024,25597.95,61306.00,6.00
17,0.2200,,,,,,24256.03,61306.00,6.00
17_val,,0.2004,0.9216,0.7738,0.7531,0.8161,27745.43,61306.00,100.00
18,0.2228,,,,,,24725.50,61306.00,100.00
18_val,,0.2040,0.9169,0.7742,0.7466,0.8126,26318.64,61306.00,6.00
19,0.2250,,,,,,25609.75,61306.00,100.00
19_val,,0.1906,0.9310,0.7832,0.7664,0.8269,25844.27,61306.00,0.00
20,0.2256,,,,,,25871.82,61306.00,100.00
20_val,,0.1951,0.9262,0.7812,0.7560,0.8211,26359.45,61306.00,6.00
21,0.2221,,,,,,24856.35,61306.00,6.00
21_val,,0.1957,0.9263,0.7764,0.7584,0.8203,26905.08,61306.00,6.00
22,0.2193,,,,,,26654.54,61306.00,100.00
22_val,,0.1890,0.9211,0.7892,0.7756,0.8286,26501.84,61306.00,6.00
23,0.2229,,,,,,25125.38,61306.00,6.00
23_val,,0.1860,0.9280,0.7904,0.7771,0.8318,26715.44,61306.00,6.00
24,0.2199,,,,,,25568.86,61306.00,6.00
24_val,,0.1881,0.9298,0.7869,0.7637,0.8268,26847.07,61306.00,0.00
25,0.2167,,,,,,24159.57,61306.00,0.00
25_val,,0.1846,0.9320,0.8023,0.7660,0.8334,26097.89,61306.00,3.00
26,0.2191,,,,,,25943.06,61306.00,100.00
26_val,,0.1877,0.9334,0.7897,0.7619,0.8283,27607.96,61306.00,100.00
27,0.2171,,,,,,24655.98,61306.00,6.00
27_val,,0.1802,0.9327,0.8018,0.7764,0.8370,27854.77,61306.00,100.00
28,0.2124,,,,,,25372.01,61306.00,6.00
28_val,,0.1837,0.9318,0.7997,0.7726,0.8347,26288.55,61306.00,4.00
29,0.2113,,,,,,24970.88,61306.00,6.00
29_val,,0.1927,0.9254,0.7885,0.7585,0.8241,27982.44,61306.00,100.00
30,0.2107,,,,,,25635.12,61306.00,6.00
30_val,,0.1837,0.9352,0.7965,0.7738,0.8352,26891.92,61306.00,0.00
31,0.2131,,,,,,25995.44,61306.00,100.00
31_val,,0.1820,0.9314,0.8061,0.7677,0.8351,26301.32,61306.00,6.00
32,0.2076,,,,,,25643.34,61306.00,72.00
32_val,,0.1813,0.9328,0.8023,0.7708,0.8353,27685.33,61306.00,100.00
33,0.2050,,,,,,21453.64,61306.00,6.00
33_val,,0.1768,0.9360,0.8130,0.7810,0.8434,24637.89,61306.00,6.00
34,0.2074,,,,,,24005.88,61306.00,100.00
34_val,,0.1808,0.9356,0.8033,0.7739,0.8376,24915.18,61306.00,6.00
35,0.2033,,,,,,23440.86,61306.00,1.00
35_val,,0.1802,0.9358,0.8049,0.7660,0.8356,26502.46,61306.00,100.00
36,0.2065,,,,,,23474.84,61306.00,6.00
36_val,,0.1815,0.9309,0.8047,0.7706,0.8354,25021.35,61306.00,6.00
37,0.2056,,,,,,23019.55,61306.00,1.00
37_val,,0.1769,0.9376,0.8088,0.7725,0.8396,25663.25,61306.00,0.00
38,0.2017,,,,,,23877.04,61306.00,86.00
38_val,,0.1738,0.9403,0.8129,0.7749,0.8427,25587.33,61306.00,0.00
39,0.2034,,,,,,24024.91,61306.00,4.00
39_val,,0.1796,0.9370,0.8002,0.7733,0.8368,25604.41,61306.00,6.00
40,0.2097,,,,,,23990.79,61306.00,6.00
40_val,,0.1805,0.9337,0.8067,0.7705,0.8369,27545.57,61306.00,100.00
41,0.1992,,,,,,26023.41,61306.00,100.00
41_val,,0.1815,0.9298,0.8028,0.7729,0.8352,26292.68,61306.00,5.00
42,0.2000,,,,,,24501.30,61306.00,6.00
42_val,,0.1779,0.9346,0.8077,0.7739,0.8387,26113.02,61306.00,6.00
43,0.1998,,,,,,25368.58,61306.00,100.00
43_val,,0.1730,0.9381,0.8105,0.7780,0.8422,25404.49,61306.00,3.00
44,0.1994,,,,,,25973.23,61306.00,100.00
44_val,,0.1717,0.9347,0.8223,0.7832,0.8467,26473.26,61306.00,4.00
45,0.1992,,,,,,24854.24,61306.00,6.00
45_val,,0.1750,0.9364,0.8200,0.7706,0.8423,26854.36,61306.00,0.00
46,0.2014,,,,,,24290.36,61306.00,0.00
46_val,,0.1704,0.9364,0.8238,0.7826,0.8476,26246.27,61306.00,0.00
47,0.2057,,,,,,25865.68,61306.00,100.00
47_val,,0.1737,0.9400,0.8176,0.7805,0.8460,26816.92,61306.00,86.00
48,0.2007,,,,,,24946.32,61306.00,11.00
48_val,,0.1764,0.9421,0.8157,0.7737,0.8438,26537.05,61306.00,0.00
49,0.1936,,,,,,25259.14,61306.00,4.00
49_val,,0.1720,0.9410,0.8178,0.7848,0.8479,28415.75,61306.00,100.00
50,0.1980,,,,,,25838.89,61306.00,7.00
50_val,,0.1760,0.9398,0.8072,0.7782,0.8417,27696.36,61306.00,6.00
51,0.2012,,,,,,25400.25,61306.00,6.00
51_val,,0.1762,0.9440,0.8050,0.7705,0.8398,27190.08,61306.00,0.00
52,0.2011,,,,,,24866.77,61306.00,0.00
52_val,,0.1822,0.9242,0.8174,0.7620,0.8345,26468.01,61306.00,0.00
53,0.2031,,,,,,25320.69,61306.00,8.00
53_val,,0.1697,0.9407,0.8183,0.7882,0.8491,27284.11,61306.00,6.00
54,0.2027,,,,,,25467.30,61306.00,0.00
54_val,,0.1684,0.9395,0.8324,0.7770,0.8496,26871.37,61306.00,6.00
55,0.1913,,,,,,26742.21,61306.00,100.00
55_val,,0.1747,0.9310,0.8189,0.7825,0.8441,27340.86,61306.00,6.00
56,0.2002,,,,,,25479.96,61306.00,6.00
56_val,,0.1673,0.9426,0.8305,0.7767,0.8499,28408.91,61306.00,100.00
57,0.1932,,,,,,25644.03,61306.00,6.00
57_val,,0.1633,0.9418,0.8401,0.7796,0.8538,27375.16,61306.00,6.00
58,0.2015,,,,,,26770.07,61306.00,100.00
58_val,,0.1663,0.9454,0.8266,0.7797,0.8505,27058.34,61306.00,6.00
59,0.1905,,,,,,26856.00,61306.00,100.00
59_val,,0.1678,0.9393,0.8347,0.7747,0.8496,27679.25,61306.00,0.00
60,0.1956,,,,,,25955.51,61306.00,6.00
60_val,,0.1722,0.9442,0.8182,0.7818,0.8481,28600.64,61306.00,6.00
61,0.1965,,,,,,26754.00,61306.00,0.00
61_val,,0.1688,0.9447,0.8239,0.7802,0.8496,27734.38,61306.00,6.00
62,0.1928,,,,,,25669.71,61306.00,6.00
62_val,,0.1704,0.9427,0.8197,0.7872,0.8498,26905.72,61306.00,6.00
63,0.1884,,,,,,25477.20,61306.00,6.00
63_val,,0.1735,0.9392,0.8197,0.7863,0.8484,27173.16,61306.00,6.00
64,0.1954,,,,,,25118.41,61306.00,6.00
64_val,,0.1628,0.9434,0.8434,0.7791,0.8553,26943.64,61306.00,6.00
65,0.1923,,,,,,22192.19,61306.00,6.00
65_val,,0.1674,0.9424,0.8294,0.7775,0.8498,24928.00,61306.00,0.00
66,0.1982,,,,,,25520.68,61306.00,100.00
66_val,,0.1670,0.9431,0.8391,0.7773,0.8532,25336.00,61306.00,0.00
67,0.1905,,,,,,24192.23,61306.00,6.00
67_val,,0.1646,0.9462,0.8361,0.7809,0.8544,26135.30,61306.00,0.00
68,0.1889,,,,,,25231.29,61306.00,100.00
68_val,,0.1740,0.9400,0.8174,0.7763,0.8446,25763.04,61306.00,0.00
69,0.1902,,,,,,23517.75,61306.00,6.00
69_val,,0.1639,0.9454,0.8335,0.7861,0.8550,25340.37,61306.00,9.00
70,0.1903,,,,,,26029.23,61306.00,100.00
70_val,,0.1735,0.9388,0.8202,0.7793,0.8461,26395.25,61306.00,88.00
71,0.1943,,,,,,24356.89,61306.00,6.00
71_val,,0.1664,0.9449,0.8317,0.7818,0.8528,26961.21,61306.00,100.00
72,0.1877,,,,,,24077.74,61306.00,6.00
72_val,,0.1650,0.9441,0.8297,0.7832,0.8523,26106.14,61306.00,6.00
73,0.1863,,,,,,24894.79,61306.00,6.00
73_val,,0.1617,0.9442,0.8442,0.7818,0.8567,26495.36,61306.00,1.00
74,0.1919,,,,,,25810.05,61306.00,100.00
74_val,,0.1632,0.9476,0.8358,0.7864,0.8566,25517.21,61306.00,6.00
75,0.1881,,,,,,25953.63,61306.00,100.00
75_val,,0.1612,0.9457,0.8481,0.7866,0.8601,25603.95,61306.00,2.00
76,0.1899,,,,,,24445.47,61306.00,93.00
76_val,,0.1674,0.9369,0.8345,0.7892,0.8536,25643.00,61306.00,6.00
77,0.1900,,,,,,24015.13,61306.00,0.00
77_val,,0.1680,0.9435,0.8285,0.7777,0.8499,26952.63,61306.00,100.00
78,0.1926,,,,,,25534.38,61306.00,100.00
78_val,,0.1631,0.9447,0.8389,0.7773,0.8536,25813.07,61306.00,6.00
79,0.1886,,,,,,26358.26,61306.00,100.00
79_val,,0.1640,0.9476,0.8311,0.7915,0.8567,26375.69,61306.00,11.00
80,0.1883,,,,,,26083.00,61306.00,100.00
