Round/Epoch,Train Loss,SGD Steps,Val Loss,Val Dice CORONARY,Val Mean Dice,Val HD95 CORONARY,Val Mean HD95,Val clDice CORONARY,Val Mean clDice,Val Sensitivity CORONARY,Val Specificity CORONARY,Val Precision CORONARY,Peak RAM (MB),Peak VRAM (MB),Peak GPU Util (%)
0_val,,,0.5161,0.2553,0.2553,161.61,161.61,0.0921,0.0921,0.5172,0.9961,0.1724,,,
1,0.3313,140,,,,,,,,,,,2832.1,6699.0,100.0
1_val,,,0.4537,0.3081,0.3081,152.04,152.04,0.1459,0.1459,0.6238,0.9963,0.2078,,,
2,0.2934,140,,,,,,,,,,,3464.1,8669.0,100.0
2_val,,,0.4068,0.3681,0.3681,147.07,147.07,0.2110,0.2110,0.6383,0.9972,0.2627,,,
3,0.2601,140,,,,,,,,,,,3473.6,10381.0,100.0
3_val,,,0.3887,0.3653,0.3653,142.63,142.63,0.2278,0.2278,0.6573,0.9970,0.2562,,,
4,0.3014,140,,,,,,,,,,,3487.7,10381.0,100.0
4_val,,,0.3594,0.4200,0.4200,137.05,137.05,0.3118,0.3118,0.6898,0.9976,0.3056,,,
5,0.2704,140,,,,,,,,,,,3488.8,10381.0,100.0
5_val,,,0.3418,0.4274,0.4274,142.13,142.13,0.3024,0.3024,0.6875,0.9977,0.3140,,,
6,0.2310,140,,,,,,,,,,,3490.0,8669.0,100.0
6_val,,,0.3149,0.4741,0.4741,129.02,129.02,0.3613,0.3613,0.6589,0.9983,0.3753,,,
7,0.2428,140,,,,,,,,,,,3485.3,8669.0,100.0
7_val,,,0.3073,0.4719,0.4719,125.10,125.10,0.3715,0.3715,0.6861,0.9981,0.3642,,,
