Round/Epoch,Train Loss,SGD Steps,Val Loss,Val Balanced Accuracy,Val Macro F1,Val Recall MEL,Val Recall NV,Val Recall BCC,Val Recall AK,Val Recall BKL,Val Recall DF,Val Recall VASC,Val Recall SCC,Val Macro AUC OvR,Val Cohen Kappa,Peak RAM (MB),Peak VRAM (MB),Peak GPU Util (%)
1,0.2023,27,,,,,,,,,,,,,,2717.6,10752.0,75.0
1_val,,,0.1950,0.2889,0.1655,0.5514,0.5408,0.0000,0.0000,0.0263,0.0000,0.6923,0.5000,0.7654,0.1754,,,
2,0.1210,27,,,,,,,,,,,,,,3782.3,13068.0,88.0
2_val,,,0.1007,0.3675,0.2673,0.4486,0.6395,0.3714,0.2500,0.1053,0.1250,1.0000,0.0000,0.8643,0.2835,,,
3,0.0735,27,,,,,,,,,,,,,,4569.1,13048.0,94.0
3_val,,,0.0877,0.4978,0.3589,0.3551,0.7891,0.2000,0.7500,0.2632,0.1250,1.0000,0.5000,0.8982,0.3438,,,
4,0.0591,27,,,,,,,,,,,,,,4733.5,13080.0,93.0
4_val,,,0.0684,0.6117,0.5122,0.6542,0.6599,0.4286,0.7500,0.2763,0.6250,1.0000,0.5000,0.9182,0.4012,,,
5,0.0498,27,,,,,,,,,,,,,,4738.3,13060.0,94.0
5_val,,,0.0636,0.6480,0.4761,0.5701,0.6497,0.7143,0.7500,0.2500,0.7500,1.0000,0.5000,0.9173,0.4107,,,
