Round/Epoch,Train Loss,SGD Steps,Val Loss,Val Mean AUC ROC,Val Macro F1,Val AUC Atelectasis,Val AUC Cardiomegaly,Val AUC Effusion,Val AUC Infiltration,Val AUC Mass,Val AUC Nodule,Val AUC Pneumonia,Val AUC Pneumothorax,Val AUC Consolidation,Val AUC Edema,Val AUC Emphysema,Val AUC Fibrosis,Val AUC Pleural_Thickening,Val AUC Hernia,Val Sensitivity Atelectasis,Val Sensitivity Cardiomegaly,Val Sensitivity Effusion,Val Sensitivity Infiltration,Val Sensitivity Mass,Val Sensitivity Nodule,Val Sensitivity Pneumonia,Val Sensitivity Pneumothorax,Val Sensitivity Consolidation,Val Sensitivity Edema,Val Sensitivity Emphysema,Val Sensitivity Fibrosis,Val Sensitivity Pleural_Thickening,Val Sensitivity Hernia,Peak RAM (MB),Peak VRAM (MB),Peak GPU Util (%)
1,1.4831,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2162.3,8186.0,95.0
1_val,,,1.3538,0.5717,0.0917,0.5851,0.6444,0.6975,0.5639,0.4401,0.4590,0.5922,0.6459,0.7624,0.8101,0.6530,0.6846,0.4651,0.0000,0.9130,0.7879,0.3716,0.2491,0.0000,0.2933,0.5000,1.0000,0.9268,0.4667,1.0000,0.0000,0.9808,0.0000,,,
2,1.3809,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3654.5,11214.0,95.0
2_val,,,1.2353,0.6258,0.1152,0.6472,0.6886,0.7506,0.5970,0.5877,0.5079,0.6394,0.6962,0.8252,0.8413,0.7548,0.6605,0.5649,0.0000,0.6159,0.4848,0.7095,0.4945,0.8125,0.2267,0.7778,0.9322,0.7805,0.6889,0.8621,0.9310,0.5385,0.0000,,,
3,1.2974,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4173.2,11230.0,96.0
3_val,,,1.2150,0.6518,0.1295,0.6688,0.6725,0.7911,0.6016,0.6724,0.5588,0.6718,0.7332,0.8283,0.8514,0.7796,0.6711,0.6242,0.0000,0.6449,0.6667,0.7568,0.4725,0.5625,0.7867,0.5556,0.8136,0.7073,0.7778,0.6897,0.5172,0.5385,0.0000,,,
4,1.2444,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4697.6,11222.0,95.0
4_val,,,1.1286,0.6796,0.1344,0.7027,0.6745,0.8189,0.6248,0.7314,0.6266,0.6858,0.7625,0.8320,0.8643,0.8105,0.6928,0.6879,0.0000,0.5797,0.5758,0.8243,0.4286,0.5208,0.5733,0.7778,0.8136,0.6829,0.8000,0.7586,0.7931,0.5192,0.0000,,,
5,1.2483,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4343.4,11222.0,96.0
5_val,,,1.1424,0.6934,0.1470,0.7157,0.6971,0.8307,0.6329,0.7445,0.6535,0.7095,0.7686,0.8252,0.8663,0.8215,0.7395,0.7022,0.0000,0.5507,0.3333,0.6622,0.5421,0.6042,0.6267,0.6111,0.7288,0.5366,0.7556,0.7241,0.4828,0.4615,0.0000,,,
