PARTITION        AVAIL  TIMELIMIT  NODES  STATE NODELIST
amd_2021            up   infinite      5    mix svc-3024-54-[1-2,6-8]
amd_2021            up   infinite      1  alloc svc-3024-54-5
amd_2021            up   infinite      2   idle svc-3024-54-[3-4]
amdwoods_2022       up   infinite      1    mix svc-3024-51-2
amdwoods_2022       up   infinite      3   idle svc-3024-51-[3-5]
bfbsm_2019          up   infinite      6 drain* mdc-1057-2-[10-12,15,17,19]
bfbsm_2019          up   infinite      6   idle mdc-1057-2-[13-14,16,18,20-21]
cbcs                up   infinite      1 drain* mdc-1057-4-17
cbcs                up   infinite      1    mix mdc-1057-4-16
cbcs                up   infinite      7  alloc mdc-1057-3-[10-13],mdc-1057-4-[4,14-15]
cbcs                up   infinite      3   idle mdc-1057-5-[11-13]
charbonnier_2022    up   infinite      4   idle svc-3024-51-[14-17]
chbme_2018          up   infinite      1 drain* mdc-1057-26-12
chbme_2018          up   infinite      9    mix mdc-1057-12-[3,6,10],mdc-1057-25-[11-13],mdc-1057-26-[11,13-14]
chbme_2018          up   infinite      5  alloc mdc-1057-12-[1-2,4-5],mdc-1057-25-14
chbme_2018          up   infinite      5   idle mdc-1057-12-[7-9,11-12]
cms_ocg_2022        up   infinite      5  drain svc-3024-52-[2-5,10]
cms_ocg_2022        up   infinite      3    mix svc-3024-52-[9,11,18]
cms_ocg_2022        up   infinite      9  alloc svc-3024-52-[6-8,12-17]
cms_ocg_2022        up   infinite      2   idle svc-3024-52-[19-20]
cool2022            up   infinite      2    mix cmscool[0,3]
cool2022            up   infinite      2   resv cmscool[1-2]
general*          down   infinite      6 drain* svc-3024-6-6,svc-3024-8-[1,30-32],svc-3024-9-27
general*          down   infinite     14  down* svc-3024-6-[15,26],svc-3024-8-[15,17,19,22,24-27],svc-3024-9-[4-5,11,25]
general*          down   infinite     30   drng svc-3024-6-[1-5,7-13,17,19-21,23-24,29,31,33-34,37],svc-3024-8-33,svc-3024-9-[19,21-22,28-29,32]
general*          down   infinite     38  drain svc-3024-6-[14,16,25,28,30,32,35-36,38-40],svc-3024-8-[2-14,34-40],svc-3024-9-[13,15,17,23-24,30-31]
general*          down   infinite     20   down svc-3024-6-27,svc-3024-8-[16,20-21,23,28-29,50,52],svc-3024-9-[1-3,6-10,12,14,26]
gracehopper         up   infinite      1   unk* svc-3024-51-gh
hchg                up   infinite      1    mix hchg-c0
hchg                up   infinite      1   idle hchg-c1
helios              up   infinite      4    mix svc-3024-10-[10,12],svc-3024-40-[16,20]
helios              up   infinite     18   idle svc-3024-10-[14,16,18],svc-3024-11-[10,12,14,16],svc-3024-11-20i,svc-3024-12-[10,12,14,16],svc-3024-12-20i,svc-3024-36-[10,12,14,16,18]
hii02             down   infinite      4 drain* svc-3024-2-[7,14],svc-3024-4-[8-9]
hii02             down   infinite      2  down* svc-3024-4-[3,14]
hii02             down   infinite     62  drain svc-3024-1-[11-12,14-17,20-39],svc-3024-2-[1,3-4,8,11-12,24,28-39],svc-3024-4-[1-2,4-7,10-13,15-19],svc-3024-5-[1,3]
himem               up   infinite      4   idle svc-3024-gpfs-himem[1-4]
margres_2020        up   infinite      3  alloc mdc-1057-4-[5-7]
muma_2021           up   infinite      1 drain* mdc-1057-13-11
muma_2021           up   infinite      2   drng mdc-1057-13-[9-10]
muma_2021           up   infinite      6  drain mdc-1057-13-[8,12],mdc-1057-18-[1-4]
muma_2021           up   infinite      1  alloc mdc-1057-13-13
qcg_gayles_2022     up   infinite      8   idle svc-3024-51-[6-13]
rra                 up   infinite      2 drain* mdc-1057-21-[2,15]
rra                 up   infinite      1  drain mdc-1057-23-7
rra                 up   infinite     31    mix mdc-1057-3-4,mdc-1057-21-[1,3-14],mdc-1057-22-[1-13],mdc-1057-23-[1-4]
rra                 up   infinite      3  alloc mdc-1057-3-[1-3]
rra                 up   infinite     35   idle mdc-1057-3-[5-9],mdc-1057-5-[1-10],mdc-1057-23-[5-6,8-14],mdc-1057-24-[1-3,5-12]
rra_con2020         up   infinite      1  down* mdc-1057-4-2
rra_con2020         up   infinite      1  alloc mdc-1057-4-1
rra_con2020         up   infinite      1   idle mdc-1057-4-3
simmons_itn18       up   infinite      6    mix mdc-1057-25-[1,4,6-9]
simmons_itn18       up   infinite     14   idle mdc-1057-25-[2-3,5,10],mdc-1057-26-[1-10]
snsm_itn19          up   infinite      1 drain* mdc-1057-28-3
snsm_itn19          up   infinite      4  down* mdc-1057-27-[1,3],mdc-1057-28-[15,18]
snsm_itn19          up   infinite      1   drng mdc-1057-27-2
snsm_itn19          up   infinite      1  drain mdc-1057-27-14
snsm_itn19          up   infinite     31    mix mdc-1057-27-[5-13,15-20],mdc-1057-28-[1-2,4-14,16-17,19]
snsm_itn19          up   infinite      1  alloc mdc-1057-27-4
tfawcett          down   infinite      2  drain mdc-1057-24-[13-14]
