             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
33322401_[38-137%6  amd_2021 ort_arr_ cristoba PD       0:00      1 (JobArrayTaskLimit)
    33309644_[0-5]  amd_2021    4bbs5 pedrochu PD       0:00      1 (Priority)
    33309614_[0-5]  amd_2021    4mls5 pedrochu PD       0:00      1 (Priority)
    33309556_[0-5]  amd_2021    4mls4 pedrochu PD       0:00      1 (Priority)
    33309521_[0-5]  amd_2021    4mls3 pedrochu PD       0:00      1 (Priority)
    33309492_[4-5]  amd_2021    4mls2 pedrochu PD       0:00      1 (Resources)
    33317854_[0-5]  amd_2021    3bbs2 pedrochu PD       0:00      1 (Priority)
    33309985_[0-5]  amd_2021    4cls5 pedrochu PD       0:00      1 (Priority)
    33309971_[0-5]  amd_2021    4cls4 pedrochu PD       0:00      1 (Priority)
    33309966_[0-5]  amd_2021    4cls3 pedrochu PD       0:00      1 (Priority)
    33309963_[0-5]  amd_2021    4cls2 pedrochu PD       0:00      1 (Priority)
    33309826_[0-5]  amd_2021    4bbs2 pedrochu PD       0:00      1 (Priority)
    33309757_[0-5]  amd_2021    4bbs3 pedrochu PD       0:00      1 (Priority)
    33309746_[0-5]  amd_2021    4bbs4 pedrochu PD       0:00      1 (Priority)
          33343521  amd_2021 TransABy  gravese PD       0:00      1 (Priority)
33346353_[40-1241%  amd_2021 osrt_arr cristoba PD       0:00      1 (JobArrayTaskLimit)
          33366467  amd_2021 run_se5.     jiem PD       0:00      1 (Priority)
          33366531  amd_2021 run_se1.     jiem PD       0:00      1 (Priority)
          33303256  amd_2021 run_se1_     jiem  R 3-04:17:43      1 svc-3024-54-7
       33322401_37  amd_2021 ort_arr_ cristoba  R    1:09:33      1 svc-3024-54-6
       33322401_36  amd_2021 ort_arr_ cristoba  R    1:19:32      1 svc-3024-54-6
       33322401_35  amd_2021 ort_arr_ cristoba  R    1:36:49      1 svc-3024-54-5
       33322401_34  amd_2021 ort_arr_ cristoba  R    2:26:04      1 svc-3024-54-5
       33322401_33  amd_2021 ort_arr_ cristoba  R    2:26:18      1 svc-3024-54-5
       33322401_32  amd_2021 ort_arr_ cristoba  R    3:54:31      1 svc-3024-54-5
        33309492_3  amd_2021    4mls2 pedrochu  R    1:19:32      1 svc-3024-54-7
