Epoch,Train Loss,Val Loss,Val Macro AUC,Val Accuracy,Peak RAM (MB),Peak VRAM (MB),Peak GPU Util (%)
1,0.1503,0.1491,0.7567,0.9545,11077.52,5797.00,96.00
2,0.1420,0.1449,0.7807,0.9545,10747.68,5797.00,59.00
3,0.1384,0.1459,0.7737,0.9553,10950.73,5797.00,96.00
4,0.1353,0.1413,0.7944,0.9551,10565.36,5797.00,59.00
5,0.1322,0.1431,0.7927,0.9549,11227.65,5797.00,96.00
6,0.1288,0.1412,0.8022,0.9549,10820.60,5797.00,97.00
7,0.1246,0.1420,0.7961,0.9551,10955.23,5797.00,78.00
8,0.1195,0.1428,0.8045,0.9538,10684.58,5797.00,96.00
9,0.1130,0.1461,0.8012,0.9527,10941.19,5797.00,59.00
10,0.1037,0.1564,0.7805,0.9519,10707.55,5797.00,96.00
