Round/Epoch,Train Loss,SGD Steps,Val Loss,Val Dice WT,Val Dice TC,Val Dice ET,Val Mean Dice,Val HD95 WT,Val HD95 TC,Val HD95 ET,Val Mean HD95,Val Sensitivity WT,Val Sensitivity TC,Val Sensitivity ET,Val Specificity WT,Val Specificity TC,Val Specificity ET,Val Precision WT,Val Precision TC,Val Precision ET,Peak RAM (MB),Peak VRAM (MB),Peak GPU Util (%)
1,0.5759,989,0.5389,0.8262,0.5825,0.6950,0.7012,,,,,,,,,,,,,,1429.8,26387.0,100.0
2,0.2900,989,0.3463,0.7765,0.7694,0.7762,0.7740,,,,,,,,,,,,,,1460.9,26387.0,100.0
3,0.2332,989,0.2650,0.8719,0.7440,0.7915,0.8025,,,,,,,,,,,,,,1462.2,26387.0,100.0
4,0.2038,989,0.2105,0.8866,0.8456,0.8258,0.8527,,,,,,,,,,,,,,1462.4,26387.0,100.0
5,0.1899,989,0.2055,0.8571,0.8290,0.8134,0.8332,,,,,,,,,,,,,,1462.4,26387.0,100.0
6,0.1816,989,0.1838,0.8839,0.8445,0.8121,0.8468,,,,,,,,,,,,,,1462.4,26387.0,100.0
7,0.1717,989,0.1706,0.8984,0.8509,0.8150,0.8548,,,,,,,,,,,,,,1462.4,26387.0,100.0
8,0.1658,989,0.1661,0.8652,0.8718,0.8266,0.8546,,,,,,,,,,,,,,1462.4,26387.0,100.0
9,0.1637,989,0.1741,0.8662,0.8543,0.8158,0.8454,,,,,,,,,,,,,,1462.4,26387.0,100.0
10,0.1605,989,0.1543,0.8848,0.8678,0.8169,0.8565,,,,,,,,,,,,,,1462.4,26387.0,100.0
11,0.1597,989,0.1436,0.8943,0.8836,0.8388,0.8722,,,,,,,,,,,,,,1462.5,26387.0,100.0
12,0.1597,989,0.1511,0.8739,0.8823,0.8263,0.8608,,,,,,,,,,,,,,1462.5,26387.0,100.0
13,0.1530,989,0.1560,0.8832,0.8649,0.8147,0.8543,,,,,,,,,,,,,,1462.5,26387.0,100.0
14,0.1489,989,0.1392,0.9077,0.8838,0.8389,0.8768,,,,,,,,,,,,,,1462.5,26387.0,100.0
15,0.1494,989,0.1693,0.8800,0.8568,0.8147,0.8505,,,,,,,,,,,,,,1462.5,26387.0,100.0
16,0.1508,989,0.1510,0.8854,0.8771,0.8228,0.8617,,,,,,,,,,,,,,1462.5,26387.0,100.0
17,0.1501,989,0.1587,0.8777,0.8772,0.8071,0.8540,,,,,,,,,,,,,,1462.5,26387.0,100.0
18,0.1440,989,0.1247,0.9149,0.9011,0.8502,0.8887,,,,,,,,,,,,,,1462.5,26387.0,100.0
19,0.1432,989,0.1356,0.8744,0.8962,0.8462,0.8723,,,,,,,,,,,,,,1462.5,26387.0,100.0
20,0.1429,989,0.1341,0.8988,0.8907,0.8370,0.8755,,,,,,,,,,,,,,1462.5,26387.0,100.0
21,0.1423,989,0.1359,0.8831,0.8939,0.8438,0.8736,,,,,,,,,,,,,,1462.5,26387.0,100.0
22,0.1414,989,0.1605,0.8704,0.8602,0.8098,0.8468,,,,,,,,,,,,,,1462.5,26387.0,100.0
23,0.1418,989,0.1249,0.9145,0.9016,0.8508,0.8890,,,,,,,,,,,,,,1462.5,26387.0,100.0
24,0.1392,989,0.1318,0.8817,0.8985,0.8419,0.8740,,,,,,,,,,,,,,1462.6,26387.0,100.0
25,0.1384,989,0.1193,0.9081,0.9095,0.8513,0.8896,,,,,,,,,,,,,,1462.6,26387.0,100.0
26,0.1381,989,0.1354,0.8709,0.9043,0.8460,0.8738,,,,,,,,,,,,,,1462.6,26387.0,100.0
27,0.1351,989,0.1250,0.9042,0.9046,0.8465,0.8851,,,,,,,,,,,,,,1462.6,26387.0,100.0
28,0.1379,989,0.1282,0.9102,0.8999,0.8399,0.8833,,,,,,,,,,,,,,1462.6,26387.0,100.0
29,0.1363,989,0.1321,0.8953,0.8923,0.8388,0.8755,,,,,,,,,,,,,,1462.6,26387.0,100.0
30,0.1340,989,0.1211,0.9073,0.9096,0.8560,0.8910,,,,,,,,,,,,,,1462.4,26387.0,100.0
31,0.1341,989,0.1242,0.9062,0.9020,0.8464,0.8849,,,,,,,,,,,,,,1358.8,26387.0,100.0
32,0.1320,989,0.1249,0.8951,0.9040,0.8468,0.8820,,,,,,,,,,,,,,1358.8,26387.0,100.0
33,0.1317,989,0.1270,0.8833,0.9089,0.8510,0.8811,,,,,,,,,,,,,,1358.8,26387.0,100.0
34,0.1322,989,0.1275,0.9036,0.9063,0.8508,0.8869,,,,,,,,,,,,,,1358.8,26387.0,100.0
35,0.1320,989,0.1190,0.9045,0.9096,0.8549,0.8897,,,,,,,,,,,,,,1358.8,26387.0,100.0
36,0.1299,989,0.1189,0.9155,0.9067,0.8513,0.8912,,,,,,,,,,,,,,1358.8,26387.0,100.0
37,0.1290,989,0.1301,0.8809,0.9057,0.8496,0.8788,,,,,,,,,,,,,,1358.8,26387.0,100.0
38,0.1297,989,0.1184,0.9026,0.9110,0.8516,0.8884,,,,,,,,,,,,,,1358.8,26387.0,100.0
39,0.1289,989,0.1249,0.8984,0.9034,0.8441,0.8820,,,,,,,,,,,,,,1358.8,26387.0,100.0
40,0.1278,989,0.1213,0.9150,0.9089,0.8562,0.8933,,,,,,,,,,,,,,1358.9,26387.0,100.0
41,0.1261,989,0.1253,0.9030,0.9082,0.8625,0.8912,,,,,,,,,,,,,,1358.7,26387.0,100.0
42,0.1285,989,0.1597,0.9092,0.8771,0.8483,0.8782,,,,,,,,,,,,,,1356.5,26387.0,100.0
43,0.1258,989,0.1227,0.8944,0.9154,0.8565,0.8888,,,,,,,,,,,,,,1356.5,26387.0,100.0
44,0.1244,989,0.1157,0.9148,0.9102,0.8529,0.8926,,,,,,,,,,,,,,1356.5,26387.0,100.0
45,0.1251,989,0.1202,0.9036,0.9128,0.8641,0.8935,,,,,,,,,,,,,,1356.5,26387.0,100.0
46,0.1246,989,0.1241,0.8875,0.9090,0.8523,0.8829,,,,,,,,,,,,,,1356.5,26387.0,100.0
47,0.1247,989,0.1306,0.9003,0.8989,0.8421,0.8804,,,,,,,,,,,,,,1356.5,26387.0,100.0
48,0.1225,989,0.1209,0.9170,0.9059,0.8553,0.8927,,,,,,,,,,,,,,1356.5,26387.0,100.0
49,0.1214,989,0.1182,0.9068,0.9085,0.8549,0.8901,,,,,,,,,,,,,,1356.5,26387.0,100.0
50,0.1227,989,0.1212,0.9139,0.9053,0.8459,0.8884,,,,,,,,,,,,,,1356.5,26387.0,100.0
51,0.1200,989,0.1137,0.9221,0.9135,0.8570,0.8975,,,,,,,,,,,,,,1356.5,26387.0,100.0
52,0.1204,989,0.1226,0.9131,0.9001,0.8540,0.8891,,,,,,,,,,,,,,1356.5,26387.0,100.0
53,0.1206,989,0.1310,0.9087,0.8856,0.8415,0.8786,,,,,,,,,,,,,,1356.5,26387.0,100.0
54,0.1219,989,0.1318,0.9090,0.8978,0.8463,0.8844,,,,,,,,,,,,,,1356.5,26387.0,100.0
55,0.1184,989,0.1211,0.9133,0.9054,0.8513,0.8900,,,,,,,,,,,,,,1356.5,26387.0,100.0
56,0.1188,989,0.1313,0.9141,0.9019,0.8503,0.8888,,,,,,,,,,,,,,1356.5,26387.0,100.0
57,0.1191,989,0.1302,0.9156,0.8943,0.8392,0.8830,,,,,,,,,,,,,,1356.5,26387.0,100.0
58,0.1203,989,0.1266,0.9131,0.9020,0.8502,0.8884,,,,,,,,,,,,,,1356.5,26387.0,100.0
59,0.1184,989,0.1259,0.9052,0.9099,0.8563,0.8905,,,,,,,,,,,,,,1356.5,26387.0,100.0
