Round/Epoch,Train Loss,SGD Steps,Val Loss,Val Balanced Accuracy,Val Macro F1,Val Recall MEL,Val Recall NV,Val Recall BCC,Val Recall AK,Val Recall BKL,Val Recall DF,Val Recall VASC,Val Recall SCC,Val Macro AUC OvR,Val Cohen Kappa,Peak RAM (MB),Peak VRAM (MB),Peak GPU Util (%)
1,0.1344,465,0.0813,0.6305,0.4754,0.5967,0.5751,0.3981,0.7676,0.4615,0.9189,0.8000,0.5258,0.9121,0.4275,1095.3,5378.0,99.0
2,0.0802,465,0.0739,0.6299,0.4939,0.7301,0.6241,0.5019,0.5563,0.3667,0.5676,0.9500,0.7423,0.9257,0.4785,1097.7,5378.0,84.0
3,0.0619,465,0.0722,0.6794,0.5335,0.7106,0.7584,0.7472,0.5070,0.2872,0.7838,0.9500,0.6907,0.9350,0.5751,1116.1,5378.0,99.0
4,0.0506,465,0.0705,0.6814,0.6179,0.5862,0.6659,0.8094,0.7324,0.7231,0.7027,0.8500,0.3814,0.9414,0.5689,1100.5,5378.0,75.0
5,0.0406,465,0.0603,0.7275,0.6550,0.6567,0.7171,0.7453,0.6338,0.7051,0.7297,0.9000,0.7320,0.9526,0.6069,1100.6,5378.0,90.0
6,0.0360,465,0.0525,0.7296,0.6155,0.5607,0.7991,0.6849,0.7183,0.6615,0.8378,0.9250,0.6495,0.9511,0.6159,1119.0,5378.0,99.0
7,0.0298,465,0.0535,0.7572,0.6448,0.7691,0.7584,0.6660,0.7676,0.6333,0.7297,0.9500,0.7835,0.9603,0.6420,1108.8,5378.0,90.0
8,0.0260,465,0.0785,0.7144,0.6766,0.6912,0.7991,0.8000,0.6479,0.6385,0.4054,0.9500,0.7835,0.9581,0.6581,1119.1,5378.0,99.0
9,0.0239,465,0.0685,0.7117,0.6856,0.6792,0.8277,0.8019,0.5282,0.8051,0.7568,0.8000,0.4948,0.9622,0.6833,1119.1,5378.0,99.0
10,0.0208,465,0.0779,0.6814,0.5723,0.7421,0.6021,0.4038,0.4225,0.7282,0.7568,0.9500,0.8454,0.9362,0.5023,1119.1,5378.0,99.0
11,0.0174,465,0.0627,0.7711,0.7521,0.6387,0.9037,0.8453,0.5915,0.7487,0.7027,0.9750,0.7629,0.9696,0.7338,1119.1,5378.0,99.0
12,0.0148,465,0.0738,0.7618,0.7465,0.6522,0.8657,0.8491,0.7958,0.7436,0.5946,0.9750,0.6186,0.9670,0.7198,1119.1,5378.0,99.0
13,0.0126,465,0.0704,0.7583,0.7249,0.6942,0.7628,0.8811,0.6901,0.8103,0.6757,0.9750,0.5773,0.9654,0.6803,1119.1,5378.0,99.0
14,0.0125,465,0.0738,0.7649,0.7405,0.8321,0.8360,0.6943,0.6972,0.7103,0.6486,1.0000,0.7010,0.9683,0.7077,1119.1,5378.0,99.0
15,0.0143,465,0.0524,0.7733,0.7242,0.7451,0.8096,0.8472,0.7113,0.7128,0.7297,0.9500,0.6804,0.9651,0.7039,1119.1,5378.0,99.0
16,0.0119,465,0.0669,0.7467,0.7320,0.6822,0.8899,0.8887,0.6127,0.7026,0.5676,0.9500,0.6804,0.9688,0.7326,1119.1,5378.0,99.0
17,0.0118,465,0.0545,0.7955,0.7444,0.7691,0.8211,0.8038,0.6620,0.7821,0.7568,0.9750,0.7938,0.9709,0.7207,1119.1,5378.0,99.0
18,0.0074,465,0.0594,0.7729,0.7036,0.6972,0.7821,0.8604,0.5915,0.8205,0.8378,0.9750,0.6186,0.9684,0.6874,1100.7,5378.0,82.0
19,0.0100,465,0.0671,0.7769,0.7653,0.7286,0.9053,0.8302,0.5493,0.7487,0.7297,0.9500,0.7732,0.9727,0.7530,1119.1,5378.0,99.0
20,0.0062,465,0.0724,0.7862,0.7786,0.7931,0.8916,0.8415,0.6761,0.6795,0.7568,0.9500,0.7010,0.9734,0.7566,1119.1,5378.0,99.0
21,0.0096,465,0.0697,0.7839,0.7449,0.7601,0.8663,0.8491,0.6620,0.7590,0.8108,0.9250,0.6392,0.9706,0.7450,1119.1,5378.0,99.0
22,0.0077,465,0.0810,0.7470,0.7271,0.7676,0.8624,0.8208,0.6056,0.6462,0.6486,0.9750,0.6495,0.9662,0.7153,1119.1,5378.0,99.0
23,0.0087,465,0.0603,0.7977,0.7604,0.6972,0.9141,0.8302,0.7676,0.7359,0.7297,0.9750,0.7320,0.9722,0.7603,1119.1,5378.0,99.0
24,0.0047,465,0.0653,0.8000,0.7675,0.7016,0.8877,0.8925,0.7817,0.7846,0.6757,0.9750,0.7010,0.9723,0.7649,1119.1,5378.0,99.0
25,0.0031,465,0.0728,0.8046,0.7688,0.7916,0.7898,0.8906,0.7183,0.7641,0.7297,1.0000,0.7526,0.9712,0.7226,1119.2,5378.0,99.0
26,0.0066,465,0.0736,0.7897,0.7687,0.8111,0.8272,0.8264,0.7113,0.7744,0.7297,0.8750,0.7629,0.9688,0.7382,1116.9,5378.0,88.0
27,0.0081,465,0.0651,0.7735,0.7680,0.7571,0.8938,0.8830,0.7324,0.6590,0.6486,0.9750,0.6392,0.9731,0.7544,1119.6,5378.0,99.0
28,0.0043,465,0.0737,0.7935,0.7769,0.8516,0.7380,0.8962,0.7042,0.7462,0.7297,0.9500,0.7320,0.9713,0.7030,1119.6,5378.0,99.0
29,0.0087,465,0.0718,0.7804,0.7626,0.7541,0.9048,0.7585,0.7887,0.7692,0.5946,0.9000,0.7732,0.9722,0.7594,1119.6,5378.0,99.0
30,0.0060,465,0.0699,0.7879,0.7555,0.7796,0.8608,0.7491,0.6972,0.8462,0.6486,1.0000,0.7216,0.9717,0.7445,1119.6,5378.0,99.0
31,0.0073,465,0.0687,0.7773,0.7592,0.8261,0.8404,0.8604,0.5563,0.8103,0.6486,0.9750,0.7010,0.9748,0.7506,1119.6,5378.0,99.0
32,0.0056,465,0.0693,0.7907,0.7748,0.7451,0.8866,0.8396,0.7746,0.7821,0.6757,0.9000,0.7216,0.9737,0.7621,1101.2,5378.0,75.0
33,0.0041,465,0.0746,0.7973,0.7734,0.8246,0.9070,0.8208,0.6408,0.7077,0.7838,0.9000,0.7938,0.9760,0.7774,1119.6,5378.0,99.0
34,0.0035,465,0.0762,0.7728,0.7789,0.7526,0.9070,0.8415,0.6408,0.8282,0.7027,0.8500,0.6598,0.9771,0.7742,1119.6,5378.0,99.0
35,0.0029,465,0.0640,0.7871,0.7135,0.7571,0.8619,0.8132,0.6338,0.7718,0.7568,0.9500,0.7526,0.9709,0.7397,1119.6,5378.0,99.0
36,0.0070,465,0.0680,0.7910,0.7749,0.8366,0.8503,0.8736,0.6408,0.7103,0.7297,0.9750,0.7113,0.9755,0.7527,1119.6,5378.0,99.0
37,0.0026,465,0.0668,0.8084,0.7957,0.7691,0.9158,0.8321,0.7535,0.7872,0.7027,0.9750,0.7320,0.9780,0.7870,1119.6,5378.0,99.0
38,0.0023,465,0.0744,0.7960,0.8050,0.7766,0.9323,0.8962,0.7113,0.7128,0.7027,0.9250,0.7113,0.9778,0.7965,1119.7,5378.0,99.0
39,0.0018,465,0.0759,0.8033,0.8086,0.7586,0.9202,0.9057,0.6620,0.7872,0.6757,0.9750,0.7423,0.9779,0.7963,1119.7,5378.0,99.0
40,0.0022,465,0.0911,0.7768,0.7834,0.7541,0.9158,0.8528,0.7113,0.6872,0.6216,0.9500,0.7216,0.9738,0.7658,1119.7,5378.0,99.0
41,0.0038,465,0.0884,0.7656,0.7689,0.7856,0.9053,0.8226,0.6338,0.6897,0.7027,0.9250,0.6598,0.9728,0.7546,1119.7,5378.0,99.0
42,0.0043,465,0.0718,0.7929,0.7987,0.7811,0.9196,0.8660,0.6620,0.7590,0.7027,0.9000,0.7526,0.9766,0.7889,1119.7,5378.0,99.0
43,0.0026,465,0.0779,0.7910,0.8065,0.7766,0.9307,0.9113,0.7042,0.7103,0.6486,0.9250,0.7216,0.9784,0.7978,1116.1,5378.0,75.0
44,0.0027,465,0.0768,0.7953,0.7768,0.7646,0.9384,0.8623,0.6549,0.7308,0.7297,0.9500,0.7320,0.9776,0.7913,1119.7,5378.0,99.0
45,0.0021,465,0.0651,0.8079,0.7799,0.8396,0.8685,0.8604,0.7254,0.7513,0.7568,0.9500,0.7113,0.9771,0.7743,1119.7,5378.0,99.0
46,0.0017,465,0.0905,0.7963,0.8058,0.7676,0.9356,0.8679,0.6761,0.7590,0.7027,0.9500,0.7113,0.9762,0.7959,1119.7,5378.0,99.0
47,0.0011,465,0.0804,0.8044,0.8026,0.7931,0.8756,0.9264,0.7042,0.8231,0.7027,0.9500,0.6598,0.9770,0.7870,1119.7,5378.0,99.0
48,0.0009,465,0.0927,0.7904,0.7899,0.7331,0.8888,0.9132,0.6338,0.8154,0.7027,0.9250,0.7113,0.9737,0.7736,1119.7,5378.0,99.0
49,0.0017,465,0.0786,0.7853,0.7953,0.7886,0.9411,0.8245,0.6479,0.7846,0.6757,0.9500,0.6701,0.9800,0.7968,1119.7,5378.0,99.0
50,0.0016,465,0.0830,0.7881,0.7910,0.8156,0.8778,0.9038,0.6761,0.7769,0.7027,0.9750,0.5773,0.9785,0.7774,1119.7,5378.0,99.0
51,0.0015,465,0.0810,0.8006,0.8054,0.7736,0.9015,0.9132,0.7465,0.7513,0.7297,0.9500,0.6392,0.9780,0.7863,1119.7,5378.0,99.0
