Round/Epoch,Train Loss,SGD Steps,Val Loss,Val Mean AUC ROC,Val Macro F1,Val AUC Atelectasis,Val AUC Cardiomegaly,Val AUC Effusion,Val AUC Infiltration,Val AUC Mass,Val AUC Nodule,Val AUC Pneumonia,Val AUC Pneumothorax,Val AUC Consolidation,Val AUC Edema,Val AUC Emphysema,Val AUC Fibrosis,Val AUC Pleural_Thickening,Val AUC Hernia,Val Sensitivity Atelectasis,Val Sensitivity Cardiomegaly,Val Sensitivity Effusion,Val Sensitivity Infiltration,Val Sensitivity Mass,Val Sensitivity Nodule,Val Sensitivity Pneumonia,Val Sensitivity Pneumothorax,Val Sensitivity Consolidation,Val Sensitivity Edema,Val Sensitivity Emphysema,Val Sensitivity Fibrosis,Val Sensitivity Pleural_Thickening,Val Sensitivity Hernia,Peak RAM (MB),Peak VRAM (MB),Peak GPU Util (%)
1,1.1991,2449,1.1504,0.7705,0.1690,0.7613,0.8903,0.8628,0.6454,0.7248,0.6708,0.6925,0.7651,0.7794,0.8898,0.7893,0.7144,0.7301,0.8715,0.6292,0.9711,0.7165,0.4453,0.3844,0.4382,0.4578,0.3833,0.5827,0.5517,0.6331,0.5396,0.3434,1.0000,1042.5,5266.0,100.0
2,1.0758,2449,1.0177,0.8104,0.1608,0.7881,0.9087,0.8775,0.6705,0.8090,0.7359,0.7160,0.8334,0.7883,0.9016,0.8359,0.7749,0.7776,0.9288,0.8133,0.8555,0.9008,0.8073,0.5766,0.8286,0.5422,0.7833,0.8008,0.8621,0.7626,0.8561,0.7929,1.0000,1059.2,5266.0,100.0
3,1.0057,2449,1.0074,0.8167,0.1754,0.7972,0.9119,0.8858,0.6780,0.8172,0.7448,0.7343,0.8384,0.7907,0.9055,0.8494,0.7731,0.7928,0.9145,0.6897,0.9422,0.8005,0.5577,0.6727,0.8286,0.6024,0.7292,0.7857,0.9052,0.6691,0.5755,0.6212,1.0000,1042.8,5266.0,91.0
4,0.9623,2449,0.9834,0.8208,0.1634,0.7960,0.9139,0.8857,0.6729,0.8263,0.7453,0.7374,0.8449,0.7870,0.9022,0.8673,0.7866,0.7872,0.9381,0.6502,0.8555,0.8238,0.7219,0.7628,0.8503,0.7952,0.8417,0.8346,0.8879,0.7842,0.9065,0.8232,0.8000,1059.5,5266.0,100.0
5,0.9165,2449,0.9788,0.8260,0.1921,0.8034,0.9292,0.8895,0.6858,0.8254,0.7526,0.7260,0.8431,0.7925,0.9058,0.8745,0.7850,0.7937,0.9575,0.8368,0.9595,0.8390,0.5650,0.6306,0.5315,0.5904,0.6417,0.7820,0.7155,0.6906,0.5108,0.6616,0.8000,1047.0,5266.0,91.0
6,0.8852,2449,0.9650,0.8287,0.1911,0.8087,0.9247,0.8933,0.6890,0.8236,0.7565,0.7490,0.8409,0.7944,0.9057,0.8834,0.8095,0.8013,0.9211,0.7503,0.8497,0.7771,0.6745,0.6907,0.7636,0.4699,0.7708,0.7143,0.7241,0.7194,0.7986,0.7424,0.8000,1041.9,5266.0,91.0
7,0.8415,2449,1.0427,0.8236,0.2010,0.8059,0.9128,0.8923,0.6773,0.8276,0.7515,0.7183,0.8441,0.7989,0.8989,0.8857,0.7914,0.7938,0.9313,0.8133,0.9191,0.8203,0.6102,0.5796,0.3731,0.4578,0.7583,0.6278,0.6983,0.7410,0.5827,0.7525,0.6000,1045.4,5266.0,91.0
8,0.8169,2449,1.1376,0.8162,0.2137,0.8018,0.9149,0.8908,0.6821,0.8171,0.7472,0.7100,0.8134,0.8064,0.9014,0.8722,0.7828,0.7768,0.9105,0.7157,0.7803,0.7970,0.4759,0.6396,0.4794,0.4337,0.5125,0.7030,0.7414,0.4892,0.4245,0.6414,0.6000,1059.7,5266.0,100.0
9,0.7735,2449,1.1124,0.8179,0.2143,0.8063,0.9248,0.8927,0.6887,0.8258,0.7588,0.6957,0.8309,0.7946,0.8980,0.8776,0.7762,0.7900,0.8903,0.7478,0.7630,0.7491,0.5606,0.6937,0.5965,0.4096,0.6125,0.6729,0.7500,0.7338,0.6763,0.4444,0.6000,1059.7,5266.0,100.0
10,0.7304,2449,1.1885,0.8041,0.2075,0.8059,0.9220,0.8905,0.6922,0.8134,0.7522,0.6484,0.8341,0.7960,0.9010,0.8730,0.7726,0.7608,0.7951,0.7491,0.7803,0.7865,0.4898,0.5826,0.6920,0.3253,0.6167,0.6654,0.6983,0.5827,0.6547,0.5859,0.5000,1059.7,5266.0,100.0
11,0.6860,2449,1.2940,0.8061,0.2137,0.8021,0.9146,0.8852,0.6831,0.8160,0.7385,0.6924,0.8143,0.7696,0.8878,0.8845,0.7634,0.7503,0.8833,0.7812,0.7457,0.8366,0.5752,0.5916,0.5271,0.4458,0.5292,0.5564,0.7241,0.6691,0.4604,0.5556,0.6000,1059.7,5266.0,100.0
12,0.6322,2449,1.2993,0.8037,0.2001,0.7961,0.9192,0.8844,0.6769,0.8114,0.7409,0.6803,0.8169,0.7717,0.8870,0.8763,0.7579,0.7432,0.8900,0.6761,0.8439,0.8541,0.6401,0.4715,0.5336,0.3855,0.6208,0.4925,0.7155,0.6043,0.6619,0.6212,0.6000,1059.8,5266.0,100.0
13,0.5976,2449,1.4657,0.8055,0.2164,0.7982,0.9040,0.8866,0.6801,0.8112,0.7116,0.6773,0.8280,0.7768,0.8807,0.8803,0.7746,0.7742,0.8936,0.7367,0.6416,0.7888,0.5365,0.6066,0.4837,0.4217,0.5500,0.3947,0.6379,0.6547,0.5755,0.5808,0.6000,1059.8,5266.0,100.0
14,0.5558,2449,1.5391,0.8004,0.2158,0.7967,0.9126,0.8841,0.6746,0.8059,0.7261,0.6565,0.8086,0.7640,0.8885,0.8701,0.7545,0.7468,0.9163,0.6724,0.6069,0.7830,0.6526,0.5586,0.5445,0.1928,0.5417,0.5226,0.6034,0.5899,0.4101,0.5455,0.6000,1059.8,5266.0,100.0
15,0.5008,2449,1.7500,0.7996,0.2316,0.7896,0.9238,0.8844,0.6764,0.8046,0.7079,0.6672,0.8042,0.7546,0.8795,0.8711,0.7806,0.7230,0.9271,0.7058,0.6879,0.7725,0.5985,0.5075,0.4013,0.2169,0.4167,0.3571,0.5948,0.5036,0.3957,0.3737,0.5000,1059.8,5266.0,100.0
16,0.4621,2449,1.9261,0.7954,0.2370,0.7936,0.9084,0.8843,0.6755,0.7940,0.7146,0.6742,0.8013,0.7427,0.8806,0.8693,0.7649,0.7179,0.9140,0.7330,0.6647,0.7643,0.5496,0.5526,0.3015,0.2169,0.4250,0.3947,0.5776,0.4676,0.3597,0.3889,0.5000,1059.8,5266.0,100.0
